impression_id,user_id,news_id,rank,label,score,content_score,cf_score,popularity_score,category_score,subcategory_score
1,U80234,N42844,1,0,0.6299999952316284,1.0,0.0,0.0,0.800000011920929,0.6666666865348816
1,U80234,N34130,2,0,0.5987890958786011,0.9306424260139464,0.0,0.0,0.800000011920929,0.6666666865348816
1,U80234,N49285,3,0,0.5602817535400391,0.845070481300354,0.0,0.0,0.800000011920929,0.6666666865348816
1,U80234,N6916,4,0,0.5600293874740601,0.7556210160255432,0.0,0.9999998807907104,0.2000000029802322,0.0
1,U80234,N33176,5,0,0.502529501914978,0.5611767172813416,0.0,0.0,1.0,1.0
1,U80234,N24802,6,0,0.488747626543045,0.5305503010749817,0.0,0.0,1.0,1.0
1,U80234,N53572,7,0,0.4092172384262085,0.9093716740608216,0.0,0.0,0.0,0.0
1,U80234,N5940,8,0,0.3913631737232208,0.683837354183197,0.0,0.0681818127632141,0.2000000029802322,0.3333333432674408
1,U80234,N55237,9,0,0.3361758887767792,0.7026130557060242,0.0,0.0,0.2000000029802322,0.0
1,U80234,N11930,10,0,0.3262118995189667,0.619864821434021,0.0,0.1363636255264282,0.2000000029802322,0.0
1,U80234,N48740,11,0,0.3012170493602752,0.624926745891571,0.0,0.0,0.2000000029802322,0.0
1,U80234,N62365,12,0,0.2798160910606384,0.6218135356903076,0.0,0.0,0.0,0.0
1,U80234,N21679,13,0,0.227595642209053,0.5057681202888489,0.0,0.0,0.0,0.0
1,U80234,N29862,14,0,0.2180765271186828,0.4401700794696808,0.0,0.0,0.2000000029802322,0.0
1,U80234,N5472,15,0,0.1994945853948593,0.4433213174343109,0.0,0.0,0.0,0.0
1,U80234,N19990,16,0,0.1587707251310348,0.3083794116973877,0.0,0.0,0.2000000029802322,0.0
1,U80234,N50775,17,0,0.1559050232172012,0.1242333874106407,0.0,0.0,1.0,0.0
1,U80234,N28682,18,0,0.1394636332988739,0.3099192082881927,0.0,0.0,0.0,0.0
1,U80234,N31958,19,1,0.1335395574569702,0.2866535782814026,0.0,0.0227272696793079,0.0,0.0
1,U80234,N6400,20,0,0.0248623192310333,0.055249597877264,0.0,0.0,0.0,0.0
1,U80234,N58098,21,0,0.0101955980062484,0.0226568840444087,0.0,0.0,0.0,0.0
1,U80234,N51470,22,0,0.0,0.0,0.0,0.0,0.0,0.0
2,U60458,N36779,1,0,0.8665148019790649,0.9255883693695068,0.0,0.9999998211860656,1.0,1.0
2,U60458,N20036,2,0,0.6489129662513733,1.0,0.0,0.8695650696754456,0.25,0.0
2,U60458,N35216,3,0,0.4777604937553406,0.8394678235054016,0.0,0.0,0.25,0.5
2,U60458,N32536,4,0,0.1096779704093933,0.0215066038072109,0.0,0.0,0.25,0.5
2,U60458,N31958,5,0,0.0957250893115997,0.1933987736701965,0.0,0.0434782542288303,0.0,0.0
2,U60458,N46976,6,0,0.0,0.0,0.0,0.0,0.0,0.0
3,U44190,N31958,1,0,0.6545677185058594,0.8958646655082703,0.0,0.0071428567171096,1.0,1.0
3,U44190,N6916,2,0,0.5461905002593994,1.0,0.0,0.3142856955528259,0.3333333134651184,0.0
3,U44190,N47383,3,0,0.4627690613269806,0.8061534762382507,0.0,0.0,1.0,0.0
